W/C,W/B,A/C,Cement,Silica fume,Fly ash,Slag,Metakaolin,Filler,Superplasticizer,SAP,SAP size,SAP water uptake,Time,Shrinkage/Swelling
0.37,0.336,3.37,444,10,0,0,0,0,2,0,0,0,1,-7.3
0.615,0.4,4.615,325,0,53.8,0,0,0,0.7,0,0,0,1,-6.7
0.5,0.35,7.09,266,0,42.85,0,0,0,0.6,0,0,0,1,-6.5
0.3,0.3,2.75,596.3,0,0,0,0,0,0.5,0.2,482,10.99,1,-5.9
0.3,0.273,3.69,490,10,0,0,0,0,1.76,0,0,0,1,-5.8
0.5,0.5,4.66,370,0,0,0,0,0,0,0,0,0,1,-5.7
0.5,0.5,4.66,370,0,0,0,0,0,9.46,0,0,0,1,-5.4
0.64,0.32,0,790.5,0,0,100,0,0,0,0,0,0,1,-5.4
0.74,0.4,10.48,183.6,0,0,0,57.4,27.8,0.1,0,0,0,1,-5
0.56,0.56,4.57,350,0,0,0,0,0,1.43,0,0,0,1,-4.6
0.35,0.35,3.96,450,0,0,0,0,0,2.5,0,0,0,1,-4
0.44,0.44,4.84,375,0,0,0,0,0,0,0,0,0,1,-4
0.36,0.333,4.32,418,8.1,0,0,0,0,1.51,0,0,0,1,-3.2
0.3,0.273,3.69,490,10,0,0,0,0,1.76,0,0,0,1,-3.2
0.4,0.4,5.26,360,0,0,0,0,0,0.6,0,0,0,1,-3
0.55,0.55,4.75,360,0,0,0,0,0,0,0,0,0,1,-2.9
0.32,0.305,4.12,455,5.05,0,0,0,0,1.12,0,0,0,1,-2.8
0.926,0.5,11.56,167.4,0,0,0,57.4,27.8,1,0,0,0,1,-2.2
0.55,0.55,4.75,323,0,0,0,0,0,0,0,0,0,1,-2.2
0.35,0.35,3.7,500,0,0,0,0,0,1.63,0,0,0,1,-2.1
0.63,0.504,5.74,296,0,25,0,0,0,11.82,0,0,0,1,-2
0.47,0.47,4.5,385,0,0,0,0,0,0,0,0,0,1,-2
0.32,0.305,4.12,455,5.05,0,0,0,0,1.12,0,0,0,1,-1.8
0.69,0.69,7.04,275,0,0,0,0,0,0,0,0,0,1,-1.3
0.63,0.504,5.74,296,0,25,0,0,0,0,0,0,0,1,-0.8
0.37,0.37,3.77,454,0,0,0,0,0,1.8,0,0,0,1,-0.5
0.42,0.42,4.3875,400,0,0,0,0,0,1.8,0,0,0,1,-0.2
0.47,0.47,4.5,385,0,0,0,0,0,0,0,0,0,1,-0.2
0.39,0.361,3.74,431,8.1,0,0,0,32.48,2.11,0,0,0,1,-0.1
0.643,0.45,9,217,0,42.85,0,0,0,0.65,0,0,0,1,-0.1
0.59,0.59,5.67,320,0,0,0,0,0,0,0,0,0,1,-0.1
0.25,0.227,3.22,545,10.09,0,0,0,0,1.98,0,0,0,1,0
0.285,0.26,3.83,471,5.3,0,0,0,0,1.78,0,0,0,1,0
0.46,0.46,3.73,452,0,0,0,0,0,0,0,0,0,1,0
0.46,0.46,3.73,452,0,0,0,0,0,0,0,0,0,1,0
0.46,0.46,3.73,452,0,0,0,0,0,0,0,0,0,1,0
0.5,0.5,6.24,310,0,0,0,0,0,0.02,0,0,0,1,0.6
0.35,0.35,3.96,450,0,0,0,0,0,2.5,0,0,0,1,0.8
0.937,0.47,6,258,0,0,100,0,0,0,0,0,0,1,1
0.47,0.47,4.5,385,0,0,0,0,0,0,0,0,0,1,1
0.35,0.35,3.96,450,0,0,0,0,0,2.5,0,0,0,1,1.4
0.3,0.3,2.75,588.6,0,0,0,0,0,0.5,0.4,482,10.99,1,1.7
0.45,0.45,4.75,291,0,0,0,0,0,0,0,0,0,1,2
0.39,0.351,4.11,450,11.11,0,0,0,0,2.6,0,0,0,1,3
0.46,0.46,3.73,452,0,0,0,0,0,0,0,0,0,1,3
0.54,0.54,4.75,326,0,0,0,0,0,0,0,0,0,1,3.1
0.75,0.75,4.75,425,0,0,0,0,0,0,0,0,0,1,3.1
0.6,0.42,6.24,280,0,0,42.9,0,0,1.8,0,0,0,1,3.4
0.67,0.67,4.75,351,0,0,0,0,0,0,0,0,0,1,3.6
0.457,0.32,0,1106,0,0,28.6,0,14.3,0,0,0,0,1,3.9
0.8,0.8,4.75,389,0,0,0,0,0,0,0,0,0,1,4.2
0.76,0.76,4.75,383,0,0,0,0,0,0,0,0,0,1,4.8
0.35,0.35,3.96,450,0,0,0,0,0,2.5,0,0,0,1,5
0.59,0.59,5.67,320,0,0,0,0,0,0,0,0,0,1,6.1
0.63,0.63,4.75,387,0,0,0,0,0,0,0,0,0,1,6.8
0.3,0.273,3.69,490,10,0,0,0,0,1.76,0,0,0,1,7
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0.3,324,20,1,7
0.48,0.48,4.75,292,0,0,0,0,0,0,0,0,0,1,7.1
0.5,0.5,4.75,311,0,0,0,0,0,0,0,0,0,1,7.4
0.3,0.3,2.75,586.2,0,0,0,0,0,0.5,0.4,535,12.7,1,7.7
0.32,0.32,0,1581,0,0,0,0,0,0,0,0,0,1,7.9
0.47,0.47,3,520,0,0,0,0,0,0,0,0,0,1,7.9
0.3,0.3,0,1619,0,0,0,0,0,0.42,0.57,40,21,1,8.2
0.64,0.32,0,790.5,0,0,60,0,40,0,0,0,0,1,8.7
0.56,0.56,4.75,317,0,0,0,0,0,0,0,0,0,1,10.7
0.33,0.33,3.45,512,0,0,0,0,0,0.7,0.05,137,20,1,11.6
0.4,0.32,0,1264,0,0,0,0,25,0,0,0,0,1,11.7
0.3,0.3,2.75,588.6,0,0,0,0,0,0.5,0.6,482,10.99,1,12.8
0.3,0.3,0,1619,0,0,0,0,0,0.42,0.257,100,21,1,15.1
0.456,0.32,0,1107,0,0,42.8,0,0,0,0,0,0,1,15.9
0.31,0.31,3.4,500,0,0,0,0,0,7,0,0,0,1,16.4
0.32,0.305,4.12,455,5.05,0,0,0,0,1.12,0,0,0,1,17.4
0.62,0.62,4.75,344,0,0,0,0,0,0,0,0,0,1,18
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0,586,20,1,19.2
0.42,0.42,4.32,418,0,0,0,0,0,0,0,0,0,1,19.3
0.45,0.45,4.53,357,0,0,0,0,55.71,0,0,0,0,1,23
0.25,0.25,2.82,582,0,0,0,0,0,2,0.7,200,13,1,23.1
0.3,0.3,2.75,591.7,0,0,0,0,0,0.5,0.4,166,8.75,1,23.4
0.35,0.3,0,1370,0,0,17.6,0,0,0.42,0.22,100,61,1,23.7
0.4,0.4,4.75,267,0,0,0,0,0,0,0,0,0,1,23.8
0.671,0.47,4.29,362,0,0,42.85,0,0,0,0,0,0,1,24.3
0.35,0.3,0,1360,0,17.6,0,0,0,0.42,0.22,100,61,1,28.7
0.38,0.38,3.69,468,0,0,0,0,0,1,0.6,125,10,1,29
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0.3,586,20,1,31.3
0.3,0.3,2.75,597.3,0,0,0,0,0,0.5,0.4,645,4.82,1,32.5
0.457,0.32,0,1106,0,0,14.3,0,28.6,0,0,0,0,1,38.2
0.522,0.47,3.33,467,0,0,11.1,0,0,0,0,0,0,1,41.3
0.37,0.336,3.39,444,10,0,0,0,0,2,0,0,0,1,45.8
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0.6,586,20,1,50.8
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,1,53.6
0.545,0.3,0,898,0,0,54.5,0,27.3,0.25,0,0,0,1,54.5
0.67,0.67,4.75,366,0,0,0,0,0,0,0,0,0,1,57.2
0.33,0.33,3.45,512,0,0,0,0,0,0.7,0.16,137,20,1,61.4
0.37,0.336,2.55,444,10,0,0,0,0,1.8,0,0,0,1,73.2
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0.6,324,20,1,86.2
0.37,0.336,2.6,444,10,0,0,0,0,2.2,0,0,0,1,90.4
0.33,0.33,3.45,512,0,0,0,0,0,0.7,0.26,137,20,1,95.5
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0.3,130,20,1,105
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.4,62.8,35,1,105.4
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,1,115.7
0.4,0.4,3.63,450,0,0,0,0,0,0.1,0,0,0,1,126.6
0.25,0.25,0,1762,0,0,0,0,0,0,0.7,200,13,1,131.5
0.4,0.4,3.63,450,0,0,0,0,0,0.1,0,0,0,1,134.3
0.3,0.25,0,1440,20,0,0,0,0,1,0.3,54,12.5,1,136
0.4,0.4,0,450,0,0,0,0,0,0,0,0,0,1,167.1
0.6,0.3,0,798,0,0,100,0,0,0.42,0.22,100,61,1,170.7
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,1,177.7
0.3,0.25,0,1440,20,0,0,0,0,1,0.3,69,12.5,1,181.8
0.43,0.3,0,1124,0,0,42.8,0,0,0.42,0.22,100,61,1,194.4
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0.6,130,20,1,227.5
0.3,0.25,0,1440,20,0,0,0,0,1,0.3,82.5,12.5,1,254.8
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,1,277.9
0.3,0.25,0,1440,20,0,0,0,0,1,0.3,107.5,12.5,1,313.1
0.3,0.25,0,1440,20,0,0,0,0,1,0.3,205,12.5,1,405.1
0.3,0.3,0,1619,0,0,0,0,0,0.42,0.2,100,27,1,407
0.3,0.25,0,1440,20,0,0,0,0,1,0.6,107.5,12.5,1,530.2
0.3,0.25,0,1440,20,0,0,0,0,1,0.3,142,12.5,1,558.5
0.3,0.25,0,1440,20,0,0,0,0,1,0.6,142,12.5,1,661.9
0.3,0.25,0,1440,20,0,0,0,0,0.8,0.3,200,20,1,713.6
0.3,0.25,0,1440,20,0,0,0,0,1,0.6,205,12.5,1,747.9
0.3,0.25,0,1440,20,0,0,0,0,0.8,0.6,200,20,1,845.6
0.3,0.25,0,1440,20,0,0,0,0,0.8,0.4,200,35,1,938.7
0.3,0.25,0,1440,20,0,0,0,0,0.8,0.2,200,35,1,942.3
0.3,0.25,0,1440,20,0,0,0,0,0.8,0.3,200,35,1,1077.5
0.33,0.18,1.1,580,45.4,36.3,0,0,0,2,0,100,6,2,-3221.7
0.17,0.168,1.47,864,1.16,0,0,0,0,0.16,0,0,0,2,-2978.3
0.3,0.25,0,1440,20,0,0,0,0,0.8,0,200,35,2,-2616.1
0.3,0.25,0,1440,20,0,0,0,0,0.8,0,200,20,2,-2595.7
0.25,0.25,0,1762,0,0,0,0,0,0,0,200,13,2,-2463.7
0.33,0.18,1.1,580,45.4,36.3,0,0,0,2,0.3,100,6,2,-2296.6
0.3,0.25,0,1440,20,0,0,0,0,0,0,107.5,12.5,2,-2029.4
0.28,0.25,0,1567,11.1,0,0,0,0,0,0,200,13,2,-1874.5
0.34,0.28,0,1367,20,0,0,0,0,0,0,107.5,12.5,2,-1857.7
0.33,0.18,1.1,580,45.4,36.3,0,0,0,2,0.6,100,6,2,-1843.4
0.23,0.23,0,670,0,0,0,0,0,0.049,0,0,0,2,-1774.7
0.253,0.16,1.35,720,19.4,38.9,0,0,0,3.47,0,0,0,2,-1701.7
0.38,0.31,0,1300,20,0,0,0,0,0,0,107.5,12.5,2,-1581.3
0.325,0.16,1.73,560,25,50,0,0,28.6,4.46,0,0,0,2,-1413.2
0.225,0.183,1.25,863,25,0,0,0,0,4.3,0,0,0,2,-1278.2
0.24,0.2,0,1030,19.7,0,0,0,23.8,1.44,0,40,21,2,-1271.7
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,2,-1251.2
0.23,0.227,0,670,1.49,0,0,0,0,0.05,0,0,0,2,-1238.3
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,2,-1009.9
0.266,0.182,1.32,750,26.7,0,0,0,20,4.4,0,0,0,2,-1002.2
0.24,0.2,0,1030,19.7,0,0,0,23.8,1.44,0.257,40,21,2,-961.5
0.19,0.171,1.47,864,10.88,0,0,0,0,2.5,0,0,0,2,-914.6
0.455,0.16,2.425,400,35,70,0,0,80,6.25,0,0,0,2,-906.8
0.333,0.182,1.65,600,33.3,0,0,0,50,5.5,0,0,0,2,-886.8
0.3,0.3,0,1632,0,0,0,0,0,0.25,0,0,0,2,-868.1
0.24,0.182,1.472,750,15.3,16.6,0,0,0,3.33,0,0,0,2,-850.2
0.28,0.25,0,1567,11.1,0,0,0,0,0,0.35,200,13,2,-844.4
0.19,0.171,1.47,864,10.88,0,0,0,0,2.5,0,0,0,2,-839.6
0.25,0.25,0,1544,0,0,0,0,0,0,0,200,13,2,-813.3
0.415,0.29,2.96,499,14.2,0,28.6,0,0,6,0,0,0,2,-764.5
0.4,0.182,1.98,500,40,0,0,0,80,6.6,0,0,0,2,-756.5
0.323,0.29,2.62,492,11.1,0,0,0,0,6,0,0,0,2,-738
0.3,0.3,0,1620,0,0,0,0,0,0.42,0,100,61,2,-721.5
0.25,0.25,0,1762,0,0,0,0,0,0,0.35,200,13,2,-717.2
0.3,0.3,0,1619,0,0,0,0,0,0.42,0,40,21,2,-715.6
0.235,0.2,1.766,770,17.53,0,0,0,0,3,0,0,0,2,-704.8
0.226,0.183,2.15,620,18.4,26.6,0,0,0,5.8,0,0,0,2,-700.3
0.25,0.25,0,1544,0,0,0,0,0,0,0.46,200,13,2,-677.1
0.366,0.3,3.9,431,0,22.5,0,0,0,0.9,0,0,0,2,-676.9
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,2,-673.4
0.37,0.3,3.93,429,0,23.7,0,0,0,0.8,0,0,0,2,-662.1
0.26,0.224,1.2,800,16.2,0,0,0,26.88,3,0,0,0,2,-634.4
0.5,0.182,2.475,400,50,0,0,0,125,8.25,0,0,0,2,-622.4
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,2,-610.3
0.22,0.22,2.03,750,0,0,0,0,0,1.4,0,0,0,2,-602
0.23,0.219,1.38,800,5,0,0,0,30.63,3,0,0,0,2,-594.9
0.23,0.192,1.24,800,20,0,0,0,26.25,3,0,0,0,2,-593.8
0.3,0.3,3.06,550,0,0,0,0,0,0.9,0,0,0,2,-591.8
0.23,0.209,1.34,800,10,0,0,0,28.75,3,0,0,0,2,-580.2
0.23,0.198,1.27,800,16.2,0,0,0,27.5,3,0,0,0,2,-555.5
0.35,0.3,0,1360,0,17.6,0,0,0,0.42,0,100,61,2,-554.2
0.316,0.3,0,1526,0,0,0,5.26,0,0,0,0,0,2,-549.7
0.333,0.3,0,1445,0,0,0,11.1,0,0,0,0,0,2,-523.1
0.3,0.258,1.11,800,16.2,0,0,0,25,3,0,0,0,2,-521.9
0.3,0.3,0,1606,0,0,0,0,0,0,0,0,0,2,-513.3
0.23,0.209,1.34,800,10,0,0,0,28.75,3,0,0,0,2,-512.6
0.3,0.258,1.98,600,16.2,0,0,0,44.67,3,0,0,0,2,-505.2
0.26,0.224,1.58,700,16.2,0,0,0,34.86,3,0,0,0,2,-502.4
0.23,0.198,1.27,800,16.2,0,0,0,27.5,3,0,0,0,2,-502
0.35,0.3,0,1370,0,0,17.6,0,0,0.42,0,100,61,2,-497.8
0.33,0.18,2,578,45.5,36.3,0,0,0,2.5,0,120,6,2,-495.1
0.513,0.3,5.69,296,0,71.6,0,0,0,0.78,0,0,0,2,-494.4
0.23,0.192,1.24,800,20,0,0,0,26.25,3,0,0,0,2,-491.1
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,2,-476.6
0.375,0.3,0,1285,0,0,0,25,0,0,0,0,0,2,-469.4
0.353,0.3,0,1365,0,0,0,17.6,0,0,0,0,0,2,-465.1
0.26,0.224,1.58,700,16.2,0,0,0,34.86,3,0,0,0,2,-461.9
0.24,0.2,0,1030,19.7,0,0,0,23.8,1.44,0.38,40,21,2,-455.2
0.25,0.19,1.96,696,30,0,0,0,0,3,0.6,120,20,2,-454.4
0.18,0.18,1,1143,0,0,0,0,0,3.7,0,0,0,2,-441.3
0.26,0.224,1.2,800,16.2,0,0,0,26.88,3,0,0,0,2,-441
0.23,0.219,1.38,800,5,0,0,0,30.63,3,0,0,0,2,-433
0.33,0.297,3.82,450,11,0,0,0,0,0,0,0,0,2,-411
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,2,-409.1
0.5,0.5,0,1215,0,0,0,0,0,0,0,0,0,2,-395.5
0.43,0.3,0,1105,0,42.8,0,0,0,0.42,0,100,61,2,-395.2
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.2,471,15,2,-392.7
0.24,0.216,1.99,715,11.19,0,0,0,0,1.8,0,0,0,2,-392.3
0.3,0.258,1.98,600,16.2,0,0,0,44.67,3,0,0,0,2,-389.7
0.38,0.38,3.9,380,0,0,0,0,0,0,0,0,0,2,-389.4
0.3,0.3,3,550,0,0,0,0,0,0,0,0,0,2,-382.2
0.3,0.258,1.11,800,16.2,0,0,0,25,3,0,0,0,2,-382
0.353,0.3,0,1387,0,0,11.76,0,5.88,0.25,0,0,0,2,-375.4
0.27,0.27,3.05,550,0,0,0,0,0,6.36,0,0,0,2,-361.1
0.27,0.27,3.05,550,0,0,0,0,0,6.36,0,0,0,2,-360.4
0.4,0.2,4.28,350,0,0,100,0,0,1.5,0,0,0,2,-349.9
0.25,0.25,0,1544,0,0,0,0,0,0,0.92,200,13,2,-349
0.3,0.3,3.04,485,0,0,0,0,0,0,0,0,0,2,-344.9
0.3,0.3,3.04,485,0,0,0,0,0,0,0,0,0,2,-340.4
0.43,0.3,0,1124,0,0,42.8,0,0,0.42,0,100,61,2,-333.2
0.3,0.3,3.04,485,0,0,0,0,0,0,0,0,0,2,-329.5
0.6,0.3,0,776,0,100,0,0,0,0.42,0,100,61,2,-324.8
0.526,0.5,0,1154,0,0,0,5.26,0,0,0,0,0,2,-322.5
0.3,0.27,3.36,495,0,11.11,0,0,0,7.07,0,0,0,2,-322.4
0.3,0.27,3.36,495,0,11.11,0,0,0,0,0,0,0,2,-322
0.27,0.27,3.05,550,0,0,0,0,0,0,0,0,0,2,-317
0.2,0.2,2.14,700,0,0,0,0,0,2,0,0,0,2,-303.9
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0,324,20,2,-303
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.2,95,15,2,-301.5
0.3,0.3,0,1619,0,0,0,0,0,0.3,0,0,0,2,-298.9
0.429,0.3,0,1142,0,0,28.5,0,14.3,0.25,0,0,0,2,-298.1
0.4,0.22,2,556,45.5,36.3,0,0,0,2.5,0,120,6,2,-292.2
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.4,471,15,2,-284.4
0.28,0.252,3.4,505,11.09,0,0,0,0,5,0,0,0,2,-277.9
0.277,0.25,3.4,505,11.1,0,0,0,0,5,0,0,0,2,-276.3
0.5,0.3,5.61,300,0,67.3,0,0,0,0.9,0,0,0,2,-273.9
0.33,0.18,2,578,45.5,36.3,0,0,0,2.5,0.6,120,6,2,-266.2
0.34,0.272,3.73,440,0,25,0,0,0,7.95,0,0,0,2,-261.7
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,2,-258.9
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.13,62.8,35,2,-254.4
0.34,0.272,3.73,440,0,25,0,0,0,7.95,0,0,0,2,-253.9
0.34,0.34,4,450,0,0,0,0,0,0,0,0,0,2,-250.2
0.555,0.5,0,1093,0,0,0,11.1,0,0,0,0,0,2,-246.4
0.307,0.2,3.29,455,0,53.8,0,0,0,1.7,0,0,0,2,-243
0.64,0.38,6.46,270,0,0,100,0,0,0.8,0.47,175,13,2,-238.9
0.28,0.25,0,1567,11.1,0,0,0,0,0,0.7,200,13,2,-238.3
0.34,0.272,3.73,440,0,25,0,0,0,0,0,0,0,2,-235.1
0.6,0.3,0,798,0,0,100,0,0,0.42,0,100,61,2,-229.6
1.6,0.32,0,316.2,0,0,400,0,0,0,0,0,0,2,-227.9
0.3,0.3,2.5,600,0,0,0,0,0,1,0,0,0,2,-219.6
0.354,0.354,3.98,438,0,0,0,0,0,1,0,0,0,2,-215.6
0.25,0.25,2.98,576,0,0,0,0,0,5,0,0,0,2,-212.6
0.49,0.38,4.95,351,0,0,53.8,0,0,0.8,0.47,175,13,2,-212.2
0.25,0.25,2.98,576,0,0,0,0,0,5,0,0,0,2,-209
0.31,0.31,3.4,500,0,0,0,0,0,7,0,0,0,2,-203
0.625,0.47,4,387,0,0,0,0,33.3,0,0,0,0,2,-202.6
0.588,0.5,0,1032,0,0,0,17.6,0,0,0,0,0,2,-202.5
0.31,0.31,3.4,500,0,0,0,0,0,7,0,0,0,2,-202.1
0.32,0.32,3.2,541,0,0,0,0,0,0.8,0,175,13,2,-200.6
0.63,0.504,6.42,288,0,25,0,0,0,0,0,0,0,2,-196.8
0.25,0.25,2.82,582,0,0,0,0,0,1.4,0,200,13,2,-189.6
0.3,0.3,3.1,533,0,0,0,0,0,0.3,0,0,0,2,-186.1
0.55,0.47,3.52,440,0,0,0,0,17.64,0,0,0,0,2,-184.5
0.34,0.306,3.74,450,0,11.11,0,0,0,0,0,0,0,2,-183.1
0.3,0.3,2.73,583,0,0,0,0,0,1,0,0,0,2,-182.1
0.34,0.306,3.74,450,0,11.11,0,0,0,7.78,0,0,0,2,-182
0.6,0.3,5,300,0,0,100,0,0,0.75,0,0,0,2,-175
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.4,95,15,2,-174.6
0.38,0.266,4.22,385,0,42.85714286,0,0,0,9.09,0,0,0,2,-174.1
0.28,0.252,2.82,576,11.11,0,0,0,0,2,0,0,0,2,-173.4
0.3,0.3,2.72,583,0,0,0,0,0,1,0,0,0,2,-172.6
0.31,0.31,3.4,500,0,0,0,0,0,0,0,0,0,2,-172.1
0.38,0.266,4.22,385,0,42.86,0,0,0,0,0,0,0,2,-170
0.6,0.3,0,776,0,100,0,0,0,0.42,0.22,100,61,2,-168.6
0.25,0.192,1.96,696,0,0,0,0,0,3,0,0,0,2,-168.5
0.44,0.44,1.35,600,0,0,0,0,0,1.4,0,100,20,2,-166.1
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0.3,324,20,2,-164.3
0.24,0.2,0,1030,19.7,0,0,0,23.8,1.44,0.57,40,21,2,-162.5
0.39,0.312,4.17,400,0,25,0,0,0,8.75,0,0,0,2,-160.4
0.39,0.312,4.17,400,0,25,0,0,0,0,0,0,0,2,-156.6
0.38,0.304,3.95,377,25,0,0,0,0,0,0,0,0,2,-156.5
0.457,0.32,0,1106,0,0,14.3,0,28.6,0,0,0,0,2,-156.5
0.4,0.38,4,432.8,0,0,25,0,0,0.8,0.47,175,13,2,-156
0.39,0.312,4.17,400,0,25,0,0,0,8.75,0,0,0,2,-155.6
0.416,0.25,1.2,585,25,0,41.6,0,0,1.4,0,0,0,2,-148.5
0.625,0.5,0,972,0,0,0,25,0,0,0,0,0,2,-147.5
0.35,0.35,3.85,450,0,0,0,0,0,7.78,0,0,0,2,-147.2
0.443,0.374,4.97,350,0,18.28,0,0,0,1,0,0,0,2,-143.4
0.3,0.3,3.1,533,0,0,0,0,0,0.3,0,0,0,2,-142.7
0.492,0.385,5.53,315,7.6,20.3,0,0,0,1,0,0,0,2,-138.2
0.27,0.25,3.79,456,7.89,0,0,0,0,7.68,0,0,0,2,-137.6
0.3,0.3,2.82,582,0,0,0,0,0,1.2,0,200,13,2,-135.6
0.27,0.27,1.53,850,0,0,0,0,0,0,0,0,0,2,-132.9
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0,586,20,2,-131.5
0.35,0.35,3.85,450,0,0,0,0,0,0,0,0,0,2,-129.1
0.22,0.157,0,1446,0,0,0,0,40,1.2,0,0,0,2,-127.6
0.44,0.352,4.73,360,0,25,0,0,0,9.72,0,0,0,2,-124
0.352,0.3,3.08,496,0,17.7,0,0,0,1.8,0,0,0,2,-122.9
0.44,0.352,4.73,360,0,25,0,0,0,0,0,0,0,2,-122.6
0.352,0.3,3.08,496,17.74,0,0,0,0,2.5,0,0,0,2,-121.9
0.44,0.308,4.72,350,0,42.86,0,0,0,0,0,0,0,2,-121.5
0.44,0.308,4.72,350,0,42.86,0,0,0,10,0,0,0,2,-120.5
0.462,0.3,3.85,390,0,53.8,0,0,0,0.9,0,0,0,2,-120.3
0.324,0.3,2.86,540,8.15,0,0,0,0,2.2,0,0,0,2,-120.2
0.33,0.33,3.45,512,0,0,0,0,0,0.65,0,225,13,2,-118.8
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.6,471,15,2,-116.1
0.429,0.3,3.676,408,14.2,28.7,0,0,0,2.1,0,0,0,2,-115.9
0.38,0.38,3.69,468,0,0,0,0,0,1,0,125,10,2,-114.4
0.54,0.27,5,311,0,0,100,0,0,2,0,0,0,2,-112.7
1.6,0.32,0,316.2,0,0,300,0,100,0,0,0,0,2,-112.3
0.26,0.234,4.02,446,11.21,0,0,0,0,0,0,0,0,2,-110.9
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0.3,324,20,2,-110.3
0.429,0.3,3.679,408,0,42.9,0,0,0,1.7,0,0,0,2,-109.8
0.26,0.247,3.83,471,5.31,0,0,0,0,0,0,0,0,2,-107.5
0.305,0.28,3.19,531,9.2,0,0,0,0,1.88,0,0,0,2,-107.5
0.22,0.22,0.4,1446,0,0,0,0,0,1,0,0,0,2,-107.4
0.3,0.3,2.679,583,0,0,0,0,0,1.9,0,0,0,2,-106.5
0.39,0.351,4.14,424,11.08,0,0,0,0,2,0,0,0,2,-106
0.352,0.3,3.08,496,5.84,11.69,0,0,0,1.9,0,0,0,2,-105.8
0.3,0.3,0,1619,0,0,0,0,0,0.42,0.257,40,21,2,-105.7
0.36,0.36,3.5,500,0,0,0,0,0,0.7,0,0,0,2,-105
0.44,0.157,0,714,0,0,100,0,60,0.8,0,0,0,2,-104.3
0.44,0.44,1.35,600,0,0,0,0,0,1.4,0.4,100,20,2,-101
